Player,Position,Height (in),Weight (lbs),Date of Birth,League,GP,G,A,TP,Season,,First,Last,Name+1,Name+2,Input Array
Will Smith,F,72,181,03/17/2005,NCAA,41,25,46,71,2023,,Will,Smith,,,"[""Will"",""Smith"",""F"",""NCAA"",None,72,181,19.49,41,25,71,1.73,2024]"
Macklin Celebrini,F,72,190,06/13/2006,NCAA,38,32,32,64,2023,,Macklin,Celebrini,,,"[""Macklin"",""Celebrini"",""F"",""NCAA"",None,72,190,18.26,38,32,64,1.68,2024]"
Gabe Perreault,F,71,165,05/07/2005,NCAA,36,19,41,60,2023,,Gabe,Perreault,,,"[""Gabe"",""Perreault"",""F"",""NCAA"",None,71,165,19.36,36,19,60,1.67,2024]"
Cutter Gauthier,F,74,201,01/19/2004,NCAA,41,38,27,65,2023,,Cutter,Gauthier,,,"[""Cutter"",""Gauthier"",""F"",""NCAA"",None,74,201,20.66,41,38,65,1.59,2024]"
Jackson Blake,F,71,178,08/03/2003,NCAA,40,22,38,60,2023,,Jackson,Blake,,,"[""Jackson"",""Blake"",""F"",""NCAA"",None,71,178,21.12,40,22,60,1.5,2024]"
Jordan Dumais,F,68,173,04/15/2004,QMJHL,21,16,31,47,2023,,Jordan,Dumais,,,"[""Jordan"",""Dumais"",""F"",""QMJHL"",None,68,173,20.42,21,16,47,2.24,2024]"
Ryan Leonard,F,72,192,01/21/2005,NCAA,41,31,29,60,2023,,Ryan,Leonard,,,"[""Ryan"",""Leonard"",""F"",""NCAA"",None,72,192,19.65,41,31,60,1.46,2024]"
Rutger McGroarty,F,73,203,03/30/2004,NCAA,36,16,36,52,2023,,Rutger,McGroarty,,,"[""Rutger"",""McGroarty"",""F"",""NCAA"",None,73,203,20.46,36,16,52,1.44,2024]"
Logan Stankoven,F,68,165,02/26/2003,AHL,47,24,33,57,2023,,Logan,Stankoven,,,"[""Logan"",""Stankoven"",""F"",""AHL"",None,68,165,21.55,47,24,57,1.21,2024]"
Matvei Michkov,F,70,172,12/09/2004,KHL,47,19,22,41,2023,,Matvei,Michkov,,,"[""Matvei"",""Michkov"",""F"",""KHL"",None,70,172,19.77,47,19,41,0.87,2024]"
Gavin Brindley,F,68,173,10/05/2004,NCAA,40,25,28,53,2023,,Gavin,Brindley,,,"[""Gavin"",""Brindley"",""F"",""NCAA"",None,68,173,19.94,40,25,53,1.33,2024]"
Lane Hutson,D,69,162,02/14/2004,NCAA,38,15,34,49,2023,,Lane,Hutson,,,"[""Lane"",""Hutson"",""D"",""NCAA"",None,69,162,20.59,38,15,49,1.29,2024]"
Quentin Musty,F,74,200,07/06/2005,OHL,53,43,59,102,2023,,Quentin,Musty,,,"[""Quentin"",""Musty"",""F"",""OHL"",None,74,200,19.19,53,43,102,1.92,2024]"
Matt Savoie,F,69,179,01/01/2004,WHL,23,19,28,47,2023,,Matt,Savoie,,,"[""Matt"",""Savoie"",""F"",""WHL"",None,69,179,20.71,23,19,47,2.04,2024]"
Jack Devine,F,71,173,10/01/2003,NCAA,44,27,29,56,2023,,Jack,Devine,,,"[""Jack"",""Devine"",""F"",""NCAA"",None,71,173,20.96,44,27,56,1.27,2024]"
Jagger Firkus,F,70,153,04/29/2004,WHL,63,61,65,126,2023,,Jagger,Firkus,,,"[""Jagger"",""Firkus"",""F"",""WHL"",None,70,153,20.38,63,61,126,2,2024]"
Bradly Nadeau,F,71,172,05/05/2005,NCAA,37,19,27,46,2023,,Bradly,Nadeau,,,"[""Bradly"",""Nadeau"",""F"",""NCAA"",None,71,172,19.36,37,19,46,1.24,2024]"
Danila Yurov,F,73,178,12/22/2003,KHL,62,21,28,49,2023,,Danila,Yurov,,,"[""Danila"",""Yurov"",""F"",""KHL"",None,73,178,20.73,62,21,49,0.79,2024]"
Dylan Duke,F,70,177,03/04/2003,NCAA,41,26,23,49,2023,,Dylan,Duke,,,"[""Dylan"",""Duke"",""F"",""NCAA"",None,70,177,21.53,41,26,49,1.2,2024]"
Matt Coronato,F,70,183,11/14/2002,AHL,41,15,27,42,2023,,Matt,Coronato,,,"[""Matt"",""Coronato"",""F"",""AHL"",None,70,183,21.84,41,15,42,1.02,2024]"
Zeev Buium,D,72,183,12/07/2005,NCAA,42,11,39,50,2023,,Zeev,Buium,,,"[""Zeev"",""Buium"",""D"",""NCAA"",None,72,183,18.77,42,11,50,1.19,2024]"
Easton Cowan,F,72,185,05/20/2005,OHL,54,34,62,96,2023,,Easton,Cowan,,,"[""Easton"",""Cowan"",""F"",""OHL"",None,72,185,19.32,54,34,96,1.78,2024]"
David Goyette,F,70,172,03/27/2004,OHL,68,40,77,117,2023,,David,Goyette,,,"[""David"",""Goyette"",""F"",""OHL"",None,70,172,20.47,68,40,117,1.72,2024]"
Ville Koivunen,F,71,161,06/13/2003,Liiga,59,22,34,56,2023,,Ville,Koivunen,,,"[""Ville"",""Koivunen"",""F"",""Liiga"",None,71,161,21.26,59,22,56,0.95,2024]"
Dalibor Dvorsky,F,73,201,06/15/2005,OHL,52,45,43,88,2023,,Dalibor,Dvorsky,,,"[""Dalibor"",""Dvorsky"",""F"",""OHL"",None,73,201,19.25,52,45,88,1.69,2024]"
Seamus Casey,D,69,162,01/08/2004,NCAA,40,7,38,45,2023,,Seamus,Casey,,,"[""Seamus"",""Casey"",""D"",""NCAA"",None,69,162,20.69,40,7,45,1.13,2024]"
Andrew Cristall,F,70,167,02/04/2005,WHL,62,40,71,111,2023,,Andrew,Cristall,,,"[""Andrew"",""Cristall"",""F"",""WHL"",None,70,167,19.61,62,40,111,1.79,2024]"
Liam Ohgren,F,72,187,01/28/2004,SHL,26,12,7,19,2023,,Liam,Ohgren,,,"[""Liam"",""Ohgren"",""F"",""SHL"",None,72,187,20.63,26,12,19,0.73,2024]"
Riley Heidt,F,70,178,03/25/2005,WHL,66,37,80,117,2023,,Riley,Heidt,,,"[""Riley"",""Heidt"",""F"",""WHL"",None,70,178,19.47,66,37,117,1.77,2024]"
Anthony Romani,F,72,185,07/12/2005,OHL,68,58,53,111,2023,,Anthony,Romani,,,"[""Anthony"",""Romani"",""F"",""OHL"",None,72,185,19.18,68,58,111,1.63,2024]"
Jani Nyman,F,74,212,07/30/2004,Liiga,48,26,17,43,2023,,Jani,Nyman,,,"[""Jani"",""Nyman"",""F"",""Liiga"",None,74,212,20.13,48,26,43,0.9,2024]"
Conor Geekie,F,76,207,05/05/2004,WHL,29,23,27,50,2023,,Conor,Geekie,,,"[""Conor"",""Geekie"",""F"",""WHL"",None,76,207,20.36,29,23,50,1.72,2024]"
Berkly Catton,F,71,170,01/14/2006,WHL,68,54,62,116,2023,,Berkly,Catton,,,"[""Berkly"",""Catton"",""F"",""WHL"",None,71,170,18.67,68,54,116,1.71,2024]"
Niko Huuhtanen,F,75,198,06/26/2003,Liiga,52,19,27,46,2023,,Niko,Huuhtanen,,,"[""Niko"",""Huuhtanen"",""F"",""Liiga"",None,75,198,21.22,52,19,46,0.88,2024]"
Brandt Clarke,D,74,200,02/09/2003,AHL,50,10,36,46,2023,,Brandt,Clarke,,,"[""Brandt"",""Clarke"",""D"",""AHL"",None,74,200,21.6,50,10,46,0.92,2024]"
Calum Ritchie,F,74,185,01/21/2005,OHL,50,28,52,80,2023,,Calum,Ritchie,,,"[""Calum"",""Ritchie"",""F"",""OHL"",None,74,185,19.65,50,28,80,1.6,2024]"
Matt Copponi,F,71,174,06/04/2003,NCAA,30,7,25,32,2023,,Matt,Copponi,,,"[""Matt"",""Copponi"",""F"",""NCAA"",None,71,174,21.28,30,7,32,1.07,2024]"
Denver Barkey,F,69,155,04/27/2005,OHL,64,35,67,102,2023,,Denver,Barkey,,,"[""Denver"",""Barkey"",""F"",""OHL"",None,69,155,19.38,64,35,102,1.59,2024]"
Owen Beck,F,72,199,02/03/2004,OHL,32,18,33,51,2023,,Owen,Beck,,,"[""Owen"",""Beck"",""F"",""OHL"",None,72,199,20.62,32,18,51,1.59,2024]"
Carson Rehkopf,F,74,193,01/07/2005,OHL,60,52,43,95,2023,,Carson,Rehkopf,,,"[""Carson"",""Rehkopf"",""F"",""OHL"",None,74,193,19.69,60,52,95,1.58,2024]"
Dalyn Wakely,F,72,190,03/05/2004,OHL,66,39,65,104,2023,,Dalyn,Wakely,,,"[""Dalyn"",""Wakely"",""F"",""OHL"",None,72,190,20.53,66,39,104,1.58,2024]"
Brayden Yager,F,71,180,01/03/2005,WHL,57,35,60,95,2023,,Brayden,Yager,,,"[""Brayden"",""Yager"",""F"",""WHL"",None,71,180,19.7,57,35,95,1.67,2024]"
Ondrej Becher,F,73,184,02/22/2004,WHL,58,32,64,96,2023,,Ondrej,Becher,,,"[""Ondrej"",""Becher"",""F"",""WHL"",None,73,184,20.56,58,32,96,1.66,2024]"
Fabian Lysell,F,71,181,01/19/2003,AHL,56,15,35,50,2023,,Fabian,Lysell,,,"[""Fabian"",""Lysell"",""F"",""AHL"",None,71,181,21.66,56,15,50,0.89,2024]"
Jonathan Lekkerimaki,F,71,172,07/24/2004,SHL,46,19,12,31,2023,,Jonathan,Lekkerimaki,,,"[""Jonathan"",""Lekkerimaki"",""F"",""SHL"",None,71,172,20.14,46,19,31,0.67,2024]"
Noah Laba,F,74,191,08/04/2003,NCAA,36,20,17,37,2023,,Noah,Laba,,,"[""Noah"",""Laba"",""F"",""NCAA"",None,74,191,21.11,36,20,37,1.03,2024]"
Oskar Jellvik,F,71,175,02/08/2003,NCAA,41,13,29,42,2023,,Oskar,Jellvik,,,"[""Oskar"",""Jellvik"",""F"",""NCAA"",None,71,175,21.6,41,13,42,1.02,2024]"
Mackie Samoskevich,F,71,180,11/15/2002,AHL,62,22,32,54,2023,,Mackie,Samoskevich,,,"[""Mackie"",""Samoskevich"",""F"",""AHL"",None,71,180,21.83,62,22,54,0.87,2024]"
Justin Gill,F,73,195,01/27/2003,QMJHL,65,40,58,98,2023,,Justin,Gill,,,"[""Justin"",""Gill"",""F"",""QMJHL"",None,73,195,21.63,65,40,98,1.51,2024]"
Dmitri Rashevsky,F,73,165,10/09/2000,KHL,67,24,19,43,2023,,Dmitri,Rashevsky,,,"[""Dmitri"",""Rashevsky"",""F"",""KHL"",None,73,165,23.93,67,24,43,0.64,2024]"
Aiden Fink,F,71,165,11/24/2004,NCAA,34,15,19,34,2023,,Aiden,Fink,,,"[""Aiden"",""Fink"",""F"",""NCAA"",None,71,165,19.81,34,15,34,1,2024]"
Frank Nazar,F,69,175,01/14/2004,NCAA,41,17,24,41,2023,,Frank,Nazar,,,"[""Frank"",""Nazar"",""F"",""NCAA"",None,69,175,20.67,41,17,41,1,2024]"
